ltable_title,rtable_title,ltable_authors,rtable_authors,ltable_keywords,rtable_keywords,_id
automated phrase mining from massive text corpora,deep sentiment classification and topic discovery on novel coronavirus or covid-19 online discussions: nlp using lstm recurrent neural network approach,j shang; j liu; m jiang; x ren,h jelodar; y wang; r orji,"Automatic phrase mining, phrase mining, distant training, part-of-speech tag, multiple languages","Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning",276
"real-time crash prediction models: state-of-the-art, design pathways and ubiquitous requirements",short-text topic modeling via non-negative matrix factorization enriched with local word-context correlations,m hossain; m abdel-aty; ma quddus,t shi; k kang; j choo; ck reddy,ITS Real-time crash prediction model Design pathway Universal design requirements,"Topic modeling, short texts, non-negative matrix factorization, word embedding",955
"deep learning: a comprehensive overview on techniques, taxonomy, applications and research directions",public perception of the covid-19 pandemic on twitter: sentiment analysis and topic modeling study,ih sarker,s boon-itt; y skunkan,"Deep learning, Artifcial neural network, Artifcial intelligence, Discriminative learning, Generative learning, Hybrid learning, Intelligent systems",COVID-19; Twitter; social media; infoveillance; infodemiology; infodemic; data; health informatics; mining; perception; topic modeling,385
"multi-co-training for document classification using various document representations: tf–idf, lda, and doc2vec",stock movement prediction from tweets and historical prices,d kim; d seo; s cho; p kang,y xu; sb cohen,"Document classification, Semi-Supervised Learning, TF–IDF, LDA, Doc2Vec, Co-Training","Twitter, Stock Price, Topic Modelling",805
calibration: the achilles heel of predictive analytics,diachronic word embeddings and semantic shifts: a survey,ben van calster; david j mcleron,a kutuzov; l øvrelid; t szymanski; e velldal,"Calibration, Risk prediction models, Predictive analytics, Overfitting, Heterogeneity, Model performance","Word Embedding, Semantic Shift, Topic Modelling ",343
mapping the anti-vaccination movement on facebook,what do hotel customers complain about? text analysis using structural topic model,n smith; t graham,n hu; t zhang; b gao; i bose,Anti-vaccination; social network analysis; topic modelling; social network sites; social media,Online hotel reviews Customer dissatisfaction Structural topic model Text mining Tripadviso,769
applications of deep learning in stock market prediction: recent progress,mapping the anti-vaccination movement on facebook,w jiang,n smith; t graham,Stock market prediction Deep learning Machine learning Feedforward neural network Convolutional neural network Recurrent neural network ,Anti-vaccination; social network analysis; topic modelling; social network sites; social media,130
no longer lost in translation: evidence that google translate works for comparative bag-of-words text applications,text mining in organizational research,e de vries; m schoonvelde; g schumacher,vb kobayashi; st mol; ha berkers,"automated content analysis, statistical analysis of texts, bag-of-words models, Google Translate, LDA","text mining, dimensionality reduction, clustering, topic modeling, classification, validation, job analysis",871
text similarity in vector space models: a comparative study,the utility of topic modelling for discourse studies: a critical evaluation,o shahmirzadi; a lugowski,g brookes; t mcenery,"text similarity, vector space model, text embedding, patent, big data","Corpus linguistics, corpus-assisted discourse studies, latent Dirichlet allocation, patient feedback, topic modelling",1123
analyst information discovery and interpretation roles: a topic modeling approach,mapping the anti-vaccination movement on facebook,ah huang; r lehavy; ay zang,n smith; t graham,"analysts, discovery, interpretation, topic modeling, latent Dirichlet allocation",Anti-vaccination; social network analysis; topic modelling; social network sites; social media,87
calibration: the achilles heel of predictive analytics,heterogeneous graph attention networks for semi-supervised short text classification,ben van calster; david j mcleron,h linmei; t yang; c shi; h ji; x li,"Calibration, Risk prediction models, Predictive analytics, Overfitting, Heterogeneity, Model performance","Heterogeneous Graph Attention Networks, Semi-supervised Short Text Classification",330
detecting latent topics and trends in educational technologies over four decades using structural topic modeling: a retrospective of all volumes of computers …,top concerns of tweeters during the covid-19 pandemic: infoveillance study,x chen; d zou; g cheng; h xie,a abd-alrazaq; d alhuwail; m househ; m hamdi,Applications in subject areas Data science applications in education,"coronavirus, COVID-19; SARS-CoV-2 (144); 2019-nCov (8); social media (329); public health (216); Twitter (67); infoveillance (78); infodemiology (134); health informatics (20); disease surveillance (7) ",466
applications of deep learning in stock market prediction: recent progress,"the mythos of model interpretability: in machine learning, the concept of interpretability is both important and slippery.",w jiang,zc lipton,Stock market prediction Deep learning Machine learning Feedforward neural network Convolutional neural network Recurrent neural network ,"Machine larning, Model Interpretability",121
"social media analytics–challenges in topic discovery, data collection, and data preparation","trends and trajectories for explainable, accountable and intelligible systems: an hci research agenda",s stieglitz; m mirbabaie; b ross,a abdul; j vermeulen; d wang; by lim,Social media analytics Social media Information systems Big data,Intelligibility; explanations; explainable artificial intelligence; interpretable machine learning.,1044
stock movement prediction from tweets and historical prices,top concerns of tweeters during the covid-19 pandemic: infoveillance study,y xu; sb cohen,a abd-alrazaq; d alhuwail; m househ; m hamdi,"Twitter, Stock Price, Topic Modelling","coronavirus, COVID-19; SARS-CoV-2 (144); 2019-nCov (8); social media (329); public health (216); Twitter (67); infoveillance (78); infodemiology (134); health informatics (20); disease surveillance (7) ",1095
text similarity in vector space models: a comparative study,what is wrong with topic modeling? and how to fix it using search-based software engineering,o shahmirzadi; a lugowski,a agrawal; w fu; t menzies,"text similarity, vector space model, text embedding, patent, big data","Topic modeling, Stability, LDA, tuning, differential evolution",1130
no longer lost in translation: evidence that google translate works for comparative bag-of-words text applications,"read, watch, listen, and summarize: multi-modal summarization for asynchronous text, image, audio and video",e de vries; m schoonvelde; g schumacher,h li; j zhu; c ma; j zhang,"automated content analysis, statistical analysis of texts, bag-of-words models, Google Translate, LDA","Summarization, Multimedia, Multi-modal, Cross-modal, Natural language processing, Computer vision",860
text similarity in vector space models: a comparative study,the effect of online reviews on product sales: a joint sentiment-topic analysis,o shahmirzadi; a lugowski,x li; c wu; f mai,"text similarity, vector space model, text embedding, patent, big data","eWOM, electronic word-of-mouth, star rating, textual sentiment, topical sentiment, product reviews, sales, joint sentiment-topic analysis, JST, mediation analysis",1126
